Edward,Marchewka,s28763,22.12.1998,Informatyka,Zaoczne,Marchewka@wp.pl,Jan,Anna
Pawe�,Pomidor,s12345,12.10.1998,Informatyka,Zaoczne,Pomidor@wp.pl,Jan,Anna
Wiktoria,Jab�ko,s23456,18.11.2000,Informatyka,Zaoczne,Jab�ko@wp.pl,Jan,Anna
Micha�,Truskawka,s34567,03.05.1995,Informatyka,Zaoczne,Truskawka@wp.pl,Jan,Anna
Anna,Kalafior,s45678,08.03.1999,Informatyka,Zaoczne,Kalafior@wp.pl,Jan,Anna
�ukasz,Og�rek,s56789,18.06.2000,Informatyka,Zaoczne,Og�rek@wp.pl,Jan,Anna
Magdalena,Orzech,s67890, 11/08/1999,Informatyka,Zaoczne,Orzech@wp.pl,Jan,Anna
Maciej,Rabarbar,s78901,18.09.2003,Informatyka,Zaoczne,Rabarbar@wp.pl,Jan,Anna
Szymon,Pietruszka,s89012,09.07.2002,Informatyka,Zaoczne,Pietruszka@wp.pl,Jan,Anna
Ewa,Kapusta,s90123,28.02.1993,Informatyka,Zaoczne,Kapusta@wp.pl,Jan,Anna
